file,broker,company,rating,broker_clean
-2147481416.pdf,Equities Research,Astra Microwave Products Ltd,BUY,Equities Research
-2147481420.pdf,Systematix Research,UNKNOWN,HOLD,Systematix Research
-2147481421.pdf,Director Research,UNKNOWN,ACCUMULATE,Director Research
-2147481418.pdf,YES Securities,Escorts Kubota Ltd,NEUTRAL,YES Securities
-2147481422.pdf,Systematix Research,UNKNOWN,HOLD,Systematix Research
-2147481423.pdf,IDBI Capital,Apeejay Surrendra Park Hotels Ltd,BUY,IDBI Capital
-2147481425.pdf,ICICI Securities,ICICI Securities Limited,HOLD,ICICI Securities
-2147481426.pdf,ICICI Securities,ICICI Securities Limited,BUY,ICICI Securities
-2147481429.pdf,Director Research,Birla Corp,UNKNOWN,Director Research
-2147481428.pdf,HSBC Securities,Hexaware Technologies Limited,UNKNOWN,HSBC Securities
-2147481424.pdf,Director Research,UNKNOWN,REDUCE,Director Research
-2147481435.pdf,Systematix Research,UNKNOWN,BUY,Systematix Research
-2147481432.pdf,IDBI Capital,UNKNOWN,BUY,IDBI Capital
-2147481434.pdf,Head of Research,UNKNOWN,BUY,Head of Research
-2147481433.pdf,Director Research,STP Ltd,BUY,Director Research
-2147481441.pdf,ICICI Securities,ICICI Securities Limited,BUY,ICICI Securities
-2147481438.pdf,NBIE Research,UNKNOWN,HOLD,NBIE Research
-2147481440.pdf,Systematix Research,Patanjali Foods Ltd,BUY,Systematix Research
-2147481437.pdf,IDBI Capital,UNKNOWN,BUY,IDBI Capital
-2147481439.pdf,Net Working Capital,UNKNOWN,HOLD,Net Working Capital
-2147481445.pdf,BFSI Research,UNKNOWN,UNKNOWN,BFSI Research
-2147481443.pdf,IDBI Capital,PNC Infratech Limited,BUY,IDBI Capital
-2147481447.pdf,Head of Research,UNKNOWN,HOLD,Head of Research
-2147481446.pdf,IDBI Capital,UNKNOWN,HOLD,IDBI Capital
-2147481444.pdf,Axis Securities,UNKNOWN,BUY,Axis Securities
-2147481448.pdf,Systematix Research,UNKNOWN,HOLD,Systematix Research
-2147481449.pdf,AVP Research,UNKNOWN,BUY,AVP Research
-2147481453.pdf,Systematix Research,UNKNOWN,BUY,Systematix Research
-2147481452.pdf,Systematix Research,UNKNOWN,HOLD,Systematix Research
-2147481456.pdf,Equities Research,Hindustan Aeronautics Ltd,BUY,Equities Research
-2147481455.pdf,Institutional Research,UNKNOWN,SELL,Institutional Research
-2147481460.pdf,Director Research,UNKNOWN,SELL,Director Research
-2147481458.pdf,IDBI Capital,UNKNOWN,HOLD,IDBI Capital
-2147481462.pdf,IDBI Capital,UNKNOWN,BUY,IDBI Capital
